SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,257131,"PARAFUSO ALLEN C/C 1/4"" X 2.1/2"" UNC G5 (8.8)",,Almox Prod Especiais
MP,,257138,PARAF ALLEN S/C 5/16X1/2 UNC,,Almox Prod Especiais
MP,,257164,"PARAF. ALLEN S/CAB 3/16 X 1/2"" UNC",,Almox Prod Especiais
MP,,257308,PARAF ALLEN 3/8 X 1.1/4,,Almox Prod Especiais
MP,,257357,PARAF ALLEN 3/8 X 2,,Almox Prod Especiais
MP,,257358,"PARAF ALLEN S/CAB 3/8 X 2"" UNC",,Almox Prod Especiais
MP,,257382,PARAF ALLEN 3/8 X 3/4,,Almox Prod Especiais
MP,,257503,PARAF ALLEN 5/16 X 1.1/4 UNC,,Almox Prod Especiais
MP,,257517,"PARAFUSO ALLEN C/C 5/16"" X 4.1/2"" UNC 8.8",,Almox Prod Especiais
MP,,257520,PARAFUSO ALLEN C/C MA 10 X 25 8.8,,Almox Prod Especiais
MP,,257645,"PARAF ALLEN 1/4 X 2"" NC C/CAB.",,Almox Prod Especiais
MP,,257646,"PARAFUSO ALLEN C/C 1/4"" X 3"" UNC G8 (10.9)",,Almox Prod Especiais
MP,,257655,PARAF ALLEN S/C 5/16X5/16 UNC,,Almox Prod Especiais
MP,,257698,"PARAFUSO ALLEN C/C 1/4"" X 3"" UNC G5 (8.8)",,Almox Prod Especiais
MP,,258003,PARAF SEX 3/8 X 1.1/4 UNC ZB,,Almox Prod Especiais
MP,,258015,PARAF SEX 1/4 X 1 UNC,,Almox Prod Especiais
MP,,258155,PARAF SEX 1/2 X 3.1/2 UNC ZB,,Almox Prod Especiais
MP,,258179,PARAF SEX 1/2 X 4.1/2 UNC,,Almox Prod Especiais
MP,,258182,PARAF SEX 1 X 4 UNC,,Almox Prod Especiais
MP,,258234,PARAF SEX 3/4 X 2 UNC ZB,,Almox Prod Especiais
MP,,258237,"PARAF SEX 1/4 X 2.1/2"" UNC ZB",,Almox Prod Especiais
MP,,258258,PARAF SEX 3/4 X 4 UNF ZB,,Almox Prod Especiais
MP,,258271,PARAF SEX 3/8 X 1.1/2 UNC,,Almox Prod Especiais
MP,,258362,PARAF SEX 3/8 X 2.1/2 UNC ZB,,Almox Prod Especiais
MP,,258374,PARAF SEX 3/8 X 3.1/2 UNC,,Almox Prod Especiais
MP,,258398,PARAF SEX 3/8 X 3/4 UNC ZB,,Almox Prod Especiais
MP,,258416,PARAF SEX 5/16X 1.1/4 UNC,,Almox Prod Especiais
MP,,258532,"PARAF SEX 1/2 X 2 "" UNC ZB",,Almox Prod Especiais
MP,,258556,PARAF SEX 5/8 X 1.1/2 UNC,,Almox Prod Especiais
MP,,258647,PARAF SEX 5/8 X1.1/4 UNC ZB,,Almox Prod Especiais
MP,,258812,"PARAF SEX 1/4"" X 2.1/4"" UNC 8.8",,Almox Prod Especiais
MP,,258831,PARAF SEX 1/4 X 7/8 UNC,,Almox Prod Especiais
MP,,258909,PARAF SEX 3/4 X 3 UNF ZB,,Almox Prod Especiais
MP,,259033,PARAF SEX 1/2 X 2.1/4 UNF ZB,,Almox Prod Especiais
MP,,259070,PARAF SEX Z 3/16X 3/4 8.8UNC,,Almox Prod Especiais
MP,,259081,PARAF SEX RT5/8 X 1.1/2 8.8UNC,,Almox Prod Especiais
MP,,259158,PARAF P/PASTA NIQUELADO 10MM,,Almox Prod Especiais
MP,,259217,"PARAF SEX 5/16X 5"" UNC",,Almox Prod Especiais
MP,,259329,"PARAF SEX INOX 1/4 X 3/4"" UNC",,Almox Prod Especiais
MP,,259354,"PARAF SEX INOX 3/8 X 1.1/2"" UNC",,Almox Prod Especiais
MP,,259355,"PARAF SEX INOX 3/8 X 1"" UNC",,Almox Prod Especiais
MP,,259356,"PARAF SEX INOX 1/2 X 1.1/4"" UNC",,Almox Prod Especiais
MP,,259358,"PARAF SEX INOX MA 10MM X 20MM PASSO 1,5MM",,Almox Prod Especiais
MP,,259359,"PARAF SEX INOX MA 12MM X 30MM PASSO 1,75MM",,Almox Prod Especiais
MP,,259361,"PARAF SEX INOX 1/2 X 2"" UNC",,Almox Prod Especiais
MP,,259362,"PARAF SEX INOX 1/2 X 1"" UNC",,Almox Prod Especiais
MP,,259363,"PARAF SEX INOX 3/8 X 1.1/4"" UNC",,Almox Prod Especiais
MP,,259371,"PARAF SEX INOX 3/8 X 2.1/2"" UNC",,Almox Prod Especiais
MP,,259373,"PARAF SEX INOX 5/16 X 1"" UNC",,Almox Prod Especiais
MP,,259374,"PARAF SEX INOX 5/16 X 2"" UNC",,Almox Prod Especiais
MP,,259377,"PARAF SEX INOX 5/8 X 3.1/2"" UNC",,Almox Prod Especiais
MP,,259383,"PARAF SEX INOX 1/4 X 7/8"" UNC",,Almox Prod Especiais
MP,,259384,"PARAF SEX INOX 1/4 X 2.1/2"" UNC",,Almox Prod Especiais
MP,,259387,"PARAF SEX INOX 5/16 X 1.1/4"" UNF",,Almox Prod Especiais
MP,,259391,"PARAF SEXT INOX 1/4 X 1.1/4"" UNC",,Almox Prod Especiais
MP,,259395,"PARAF SEXT INOX 1/4 X 1.1/2"" UNC",,Almox Prod Especiais
MP,,259396,"PARAF SEXT INOX 1/4 X 1"" UNC",,Almox Prod Especiais
MP,,259399,"PARAF SEXT INOX 3/8 X 2"" UNC",,Almox Prod Especiais
MP,,259401,"PARAF SEXT INOX 3/8 X 4.1/2"" UNC",,Almox Prod Especiais
