SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL01,H31,289206,ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L (Un),415,Central
AL01,H41,289206,ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L (Un),415,Central
AL01,H12,289220,ROLAMENTO 33210 SPZ/ZWZ/GBR/1ª L (Un),99,Central
AL01,H22,289024,ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L (Un),515,Central
AL01,H32,289024,ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L (Un),515,Central
AL01,H42,284245,RETENTOR REF 00517 BR (AR-5346) (Un),65,Central
AL01,H13,284191,RETENTOR REF 1707 BR (AR-5045) (Un),400,Central
AL01,H23,288603,ROLAMENTO 30206 SPZ/ZWZ/GBR/1ªL (Un),525,Central
AL01,H33,284210,RETENTOR REF 1552 BR (AR-5363) (Un),600,Central
AL01,H43,260826,BUCHA FLUTUANTE PARA FEIXE DE MOLAS (Un),1150,Central
AL01,H14,289269,ROLAMENTO REF. 32214 1º LINHA (Un),87,Central
AL01,H24,289269,ROLAMENTO REF. 32214 1º LINHA (Un),87,Central
AL01,H34,284282,RETENTOR REF 00793 BA (AR-5006) (Un),1985,Central
AL01,H44,284282,RETENTOR REF 00793 BA (AR-5006) (Un),1985,Central
AL01,HCH,110437,CHUMBO LINGOTE PURO MOLE,180,Central
AL01,G11,272401,"PORCA CAST. DE 1"" UNS-14 FIOS ZB (Un)",950,Central
AL01,G21,-,,0,Central
AL01,G31,272504,PORCA CAST 1.1/2 S/COROA - UNC ZB (Un),505,Central
AL01,G41,272504,PORCA CAST 1.1/2 S/COROA - UNC ZB (Un),505,Central
AL01,G12,274033,"PORCA CAST. DE 7/8"" UNF ZB (Un)",150,Central
AL01,G12,279158,PORCA SEX 1 UNC (Un),464,Central
AL01,G22,273405,"PORCA CÔN. 1/2"" UNF - CH-13/16"" ZB (Un)",4600,Central
AL01,G32,273600,"PORCA CON. 5/8"" UNF CH-1.1/16"" ZB (Un)",1000,Central
AL01,G42,273600,"PORCA CON. 5/8"" UNF CH-1.1/16"" ZB (Un)",1000,Central
AL01,G13,274409,"PORCA SEX 1/4"" UNC ZB (Un)",6190,Central
AL01,G13,275098,"PORCA A/T. NY 3/4"" ALTA UNF-ZB (Un)",500,Central
